px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.98433	-12.9343	-2.68757	-0.35659	-0.536421	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0.172341
5.84414	-12.8048	-3.31212	-0.5586	-1.06813	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	7.48385
5.68057	-12.7274	-3.37683	-0.585654	-1.01984	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0.0808403
5.56252	-12.6847	-2.6809	-0.550308	-0.705362	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	5.8217
5.4335	-12.6184	-2.68723	-0.57725	-0.685594	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0.0649936
5.29341	-12.5031	-3.06443	-0.661643	-0.840562	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.61473
5.14105	-12.4193	-3.09847	-0.674681	-0.780723	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0.164603
5.01874	-12.3354	-2.89449	-0.689428	-0.693422	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.471597
4.91091	-12.235	-2.86748	-0.738317	-0.714792	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.0360129
4.80118	-12.1232	-2.97255	-0.786857	-0.749951	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.375379
4.71989	-12.0229	-2.92576	-0.841049	-0.784467	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.198039
4.61794	-11.8949	-3.00938	-0.896831	-0.818545	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.134045
4.57674	-11.748	-2.92913	-1.01255	-0.953058	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.378599
4.54259	-11.6448	-2.37909	-1.08846	-0.979572	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	2.40754
4.5093	-11.5325	-2.34273	-1.16698	-1.02813	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.184423
4.36854	-11.3392	-3.66736	-1.12811	-0.843829	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	15.7004
4.36021	-11.1543	-3.64673	-1.25687	-1.00782	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.525687
4.41023	-11.0293	-2.56623	-1.43832	-1.29822	4.43713	-11.024	4.45	-11.05	0	1.81614	11.1514
4.4173	-10.8941	-2.55211	-1.53214	-1.34164	4.45136	-10.93	4.45	-10.95	0	1.81612	0.143206
4.39468	-10.7445	-2.76452	-1.56151	-1.22939	4.44745	-10.786	4.45	-10.8	0	2.72555	0.550641
4.41911	-10.6006	-2.75645	-1.6508	-1.27005	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.201168
4.42263	-10.4515	-2.85342	-1.68796	-1.18701	4.46329	-10.5756	4.45	-10.5	0	2.729	0.36428
4.44069	-10.3089	-2.82521	-1.74315	-1.16998	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.0507078
4.47063	-10.1598	-2.8588	-1.79789	-1.14118	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.117563
4.52429	-10.0144	-2.86345	-1.87387	-1.16481	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.0842095
4.55684	-9.86294	-2.97057	-1.88609	-1.01698	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.563252
4.61918	-9.71819	-2.96426	-1.94819	-1.02773	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.071811
4.6424	-9.54596	-3.1396	-1.90724	-0.750577	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.31525
4.71249	-9.39996	-3.12084	-1.95746	-0.764878	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.262415
4.80364	-9.26048	-3.04183	-2.04546	-0.89467	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.548736
4.9079	-9.11419	-3.09098	-2.11547	-0.929533	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.138749
4.99905	-8.98903	-3.06807	-2.18458	-1.00431	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.106744
5.06357	-8.89305	-2.94906	-2.218	-0.978862	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.256754
5.13389	-8.76425	-2.95552	-2.19731	-0.737759	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.00586
5.24577	-8.63171	-2.99691	-2.24596	-0.749067	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.0371795
5.35545	-8.52621	-2.98194	-2.31765	-0.858904	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.191237
5.45484	-8.42334	-2.96347	-2.35869	-0.856348	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.00425913
5.53923	-8.31405	-2.88871	-2.34072	-0.639885	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	0.839584
5.60817	-8.2277	-2.72129	-2.36229	-0.627094	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.378967
5.6904	-8.10481	-2.72829	-2.32158	-0.375431	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	1.03463
5.81863	-7.97814	-2.83383	-2.34676	-0.379468	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.122042
5.92628	-7.86281	-2.84682	-2.35293	-0.329274	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	0.0407422
6.04749	-7.74541	-2.89041	-2.3724	-0.330737	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.0200693
6.14944	-7.63118	-2.87191	-2.35904	-0.224374	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	0.150165
6.25719	-7.52838	-2.84343	-2.37265	-0.226704	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.0149646
6.36963	-7.42383	-2.83716	-2.3859	-0.226353	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	0.0233435
6.46703	-7.33625	-2.75461	-2.39983	-0.2305	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.0781737
6.60085	-7.2534	-2.83702	-2.50283	-0.562668	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	2.1193
6.7312	-7.15826	-2.90529	-2.53096	-0.559647	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.0569099
6.77408	-7.04803	-2.53791	-2.39282	0.0107724	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	5.30802
6.87277	-6.95261	-2.53138	-2.39118	0.0114683	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.00618502
7.00425	-6.89083	-2.55328	-2.50441	-0.375566	7.08741	-6.92602	7	-6.85	2.72856	1.81904	2.45239
7.13663	-6.78525	-2.65409	-2.51791	-0.360843	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.12186
7.2142	-6.68455	-2.45106	-2.42978	0.0104936	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	2.18793
7.33116	-6.57929	-2.5282	-2.42308	0.0253471	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.0721324
7.49153	-6.552	-2.70327	-2.65477	-0.756295	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	9.42623
7.62763	-6.4765	-2.77645	-2.68814	-0.745324	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.0729885
7.7287	-6.40856	-2.55685	-2.67695	-0.571914	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.762231
7.85201	-6.35064	-2.54427	-2.71146	-0.578163	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.0041584
7.96664	-6.28662	-2.43631	-2.7101	-0.46351	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.353602
8.11111	-6.1961	-2.55517	-2.70642	-0.401298	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.248689
8.18892	-6.10838	-2.26098	-2.61021	-0.0245898	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	2.96933
